"","actual_cause","effect_valence","mechanism","response"
"217","red","neutral","conjunctive",5
"218","red","neutral","disjunctive",2
"219","blue","neutral","conjunctive",1
"220","red","pleasant","disjunctive",4
"221","blue","pleasant","disjunctive",2
"222","blue","pleasant","disjunctive",3
"223","red","pleasant","conjunctive",3
"224","blue","pleasant","conjunctive",1
"225","red","neutral","disjunctive",1
"226","blue","neutral","disjunctive",2
"227","blue","pleasant","disjunctive",5
"228","blue","pleasant","disjunctive",7
"229","blue","unpleasant","conjunctive",1
"230","red","neutral","conjunctive",1
"231","blue","neutral","disjunctive",2
"232","blue","unpleasant","conjunctive",4
"233","red","unpleasant","disjunctive",4
"234","red","unpleasant","disjunctive",7
"235","blue","neutral","disjunctive",3
"236","blue","unpleasant","conjunctive",7
"237","blue","pleasant","disjunctive",2
"238","red","unpleasant","conjunctive",1
"239","red","neutral","conjunctive",4
"240","blue","pleasant","disjunctive",2
"241","red","unpleasant","conjunctive",7
"242","blue","unpleasant","disjunctive",6
"243","red","unpleasant","conjunctive",7
"244","blue","neutral","conjunctive",2
